pokedex_id,sprite,pokemon_name,pokemon_weight,pokemon_height,speed,special_defense,special_attack,defense,attack,hp,pokemon_type1,pokemon_type2,base_hapiness,color_group,egg_group,generation,shape
21,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png"" width=""60"" >",spearow,20.0,3.0,70.0,31.0,31.0,30.0,60.0,40.0,flying,normal,70.0,brown,flying,generation-i,wings
22,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png"" width=""60"" >",fearow,380.0,12.0,100.0,61.0,61.0,65.0,90.0,65.0,flying,normal,70.0,brown,flying,generation-i,wings
23,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png"" width=""60"" >",ekans,69.0,20.0,55.0,54.0,40.0,44.0,60.0,35.0,poison,,70.0,purple,dragon,generation-i,squiggle
24,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png"" width=""60"" >",arbok,650.0,35.0,80.0,79.0,65.0,69.0,95.0,60.0,poison,,70.0,purple,dragon,generation-i,squiggle
25,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png"" width=""60"" >",pikachu,60.0,4.0,90.0,50.0,50.0,40.0,55.0,35.0,electric,,70.0,yellow,fairy,generation-i,quadruped
26,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png"" width=""60"" >",raichu,300.0,8.0,110.0,80.0,90.0,55.0,90.0,60.0,electric,,70.0,yellow,fairy,generation-i,upright
27,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png"" width=""60"" >",sandshrew,120.0,6.0,40.0,30.0,20.0,85.0,75.0,50.0,ground,,70.0,yellow,ground,generation-i,upright
28,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png"" width=""60"" >",sandslash,295.0,10.0,65.0,55.0,45.0,110.0,100.0,75.0,ground,,70.0,yellow,ground,generation-i,upright
29,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png"" width=""60"" >",nidoran-f,70.0,4.0,41.0,40.0,40.0,52.0,47.0,55.0,poison,,70.0,blue,ground,generation-i,quadruped
30,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png"" width=""60"" >",nidorina,200.0,8.0,56.0,55.0,55.0,67.0,62.0,70.0,poison,,70.0,blue,no-eggs,generation-i,quadruped
31,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png"" width=""60"" >",nidoqueen,600.0,13.0,76.0,85.0,75.0,87.0,92.0,90.0,ground,poison,70.0,blue,no-eggs,generation-i,upright
32,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png"" width=""60"" >",nidoran-m,90.0,5.0,50.0,40.0,40.0,40.0,57.0,46.0,poison,,70.0,purple,ground,generation-i,quadruped
33,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png"" width=""60"" >",nidorino,195.0,9.0,65.0,55.0,55.0,57.0,72.0,61.0,poison,,70.0,purple,ground,generation-i,quadruped
34,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png"" width=""60"" >",nidoking,620.0,14.0,85.0,75.0,85.0,77.0,102.0,81.0,ground,poison,70.0,purple,ground,generation-i,upright
35,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png"" width=""60"" >",clefairy,75.0,6.0,35.0,65.0,60.0,48.0,45.0,70.0,fairy,,140.0,pink,fairy,generation-i,upright
36,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png"" width=""60"" >",clefable,400.0,13.0,60.0,90.0,95.0,73.0,70.0,95.0,fairy,,140.0,pink,fairy,generation-i,upright
37,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png"" width=""60"" >",vulpix,99.0,6.0,65.0,65.0,50.0,40.0,41.0,38.0,fire,,70.0,brown,ground,generation-i,quadruped
38,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png"" width=""60"" >",ninetales,199.0,11.0,100.0,100.0,81.0,75.0,76.0,73.0,fire,,70.0,yellow,ground,generation-i,quadruped
39,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png"" width=""60"" >",jigglypuff,55.0,5.0,20.0,25.0,45.0,20.0,45.0,115.0,fairy,normal,70.0,pink,fairy,generation-i,humanoid
40,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png"" width=""60"" >",wigglytuff,120.0,10.0,45.0,50.0,85.0,45.0,70.0,140.0,fairy,normal,70.0,pink,fairy,generation-i,humanoid
41,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png"" width=""60"" >",zubat,75.0,8.0,55.0,40.0,30.0,35.0,45.0,40.0,flying,poison,70.0,purple,flying,generation-i,wings
42,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png"" width=""60"" >",golbat,550.0,16.0,90.0,75.0,65.0,70.0,80.0,75.0,flying,poison,70.0,purple,flying,generation-i,wings
43,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png"" width=""60"" >",oddish,54.0,5.0,30.0,65.0,75.0,55.0,50.0,45.0,poison,grass,70.0,blue,plant,generation-i,legs
44,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png"" width=""60"" >",gloom,86.0,8.0,40.0,75.0,85.0,70.0,65.0,60.0,poison,grass,70.0,blue,plant,generation-i,humanoid
45,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png"" width=""60"" >",vileplume,186.0,12.0,50.0,90.0,110.0,85.0,80.0,75.0,poison,grass,70.0,red,plant,generation-i,humanoid
46,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png"" width=""60"" >",paras,54.0,3.0,25.0,55.0,45.0,55.0,70.0,35.0,grass,bug,70.0,red,plant,generation-i,armor
47,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png"" width=""60"" >",parasect,295.0,10.0,30.0,80.0,60.0,80.0,95.0,60.0,grass,bug,70.0,red,plant,generation-i,armor
48,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png"" width=""60"" >",venonat,300.0,10.0,45.0,55.0,40.0,50.0,55.0,60.0,poison,bug,70.0,purple,bug,generation-i,humanoid
49,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png"" width=""60"" >",venomoth,125.0,15.0,90.0,75.0,90.0,60.0,65.0,70.0,poison,bug,70.0,purple,bug,generation-i,bug-wings
50,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png"" width=""60"" >",diglett,8.0,2.0,95.0,45.0,35.0,25.0,55.0,10.0,ground,,70.0,brown,ground,generation-i,blob
51,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png"" width=""60"" >",dugtrio,333.0,7.0,120.0,70.0,50.0,50.0,100.0,35.0,ground,,70.0,brown,ground,generation-i,heads
52,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png"" width=""60"" >",meowth,42.0,4.0,90.0,40.0,40.0,35.0,45.0,40.0,normal,,70.0,yellow,ground,generation-i,quadruped
53,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png"" width=""60"" >",persian,320.0,10.0,115.0,65.0,65.0,60.0,70.0,65.0,normal,,70.0,yellow,ground,generation-i,quadruped
54,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png"" width=""60"" >",psyduck,196.0,8.0,55.0,50.0,65.0,48.0,52.0,50.0,water,,70.0,yellow,ground,generation-i,upright
55,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png"" width=""60"" >",golduck,766.0,17.0,85.0,80.0,95.0,78.0,82.0,80.0,water,,70.0,blue,ground,generation-i,upright
56,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png"" width=""60"" >",mankey,280.0,5.0,70.0,45.0,35.0,35.0,80.0,40.0,fighting,,70.0,brown,ground,generation-i,upright
57,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png"" width=""60"" >",primeape,320.0,10.0,95.0,70.0,60.0,60.0,105.0,65.0,fighting,,70.0,brown,ground,generation-i,upright
58,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png"" width=""60"" >",growlithe,190.0,7.0,60.0,50.0,70.0,45.0,70.0,55.0,fire,,70.0,brown,ground,generation-i,quadruped
59,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png"" width=""60"" >",arcanine,1550.0,19.0,95.0,80.0,100.0,80.0,110.0,90.0,fire,,70.0,brown,ground,generation-i,quadruped
60,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png"" width=""60"" >",poliwag,124.0,6.0,90.0,40.0,40.0,40.0,50.0,40.0,water,,70.0,blue,water1,generation-i,legs
61,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png"" width=""60"" >",poliwhirl,200.0,10.0,90.0,50.0,50.0,65.0,65.0,65.0,water,,70.0,blue,water1,generation-i,humanoid
62,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png"" width=""60"" >",poliwrath,540.0,13.0,70.0,90.0,70.0,95.0,95.0,90.0,fighting,water,70.0,blue,water1,generation-i,humanoid
63,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png"" width=""60"" >",abra,195.0,9.0,90.0,55.0,105.0,15.0,20.0,25.0,psychic,,70.0,brown,humanshape,generation-i,upright
64,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png"" width=""60"" >",kadabra,565.0,13.0,105.0,70.0,120.0,30.0,35.0,40.0,psychic,,70.0,brown,humanshape,generation-i,upright
65,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png"" width=""60"" >",alakazam,480.0,15.0,120.0,95.0,135.0,45.0,50.0,55.0,psychic,,70.0,brown,humanshape,generation-i,humanoid
66,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png"" width=""60"" >",machop,195.0,8.0,35.0,35.0,35.0,50.0,80.0,70.0,fighting,,70.0,gray,humanshape,generation-i,upright
67,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png"" width=""60"" >",machoke,705.0,15.0,45.0,60.0,50.0,70.0,100.0,80.0,fighting,,70.0,gray,humanshape,generation-i,humanoid
68,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png"" width=""60"" >",machamp,1300.0,16.0,55.0,85.0,65.0,80.0,130.0,90.0,fighting,,70.0,gray,humanshape,generation-i,humanoid
69,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png"" width=""60"" >",bellsprout,40.0,7.0,40.0,30.0,70.0,35.0,75.0,50.0,poison,grass,70.0,green,plant,generation-i,humanoid
70,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png"" width=""60"" >",weepinbell,64.0,10.0,55.0,45.0,85.0,50.0,90.0,65.0,poison,grass,70.0,green,plant,generation-i,blob
71,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png"" width=""60"" >",victreebel,155.0,17.0,70.0,70.0,100.0,65.0,105.0,80.0,poison,grass,70.0,green,plant,generation-i,blob
72,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png"" width=""60"" >",tentacool,455.0,9.0,70.0,100.0,50.0,35.0,40.0,40.0,poison,water,70.0,blue,water3,generation-i,tentacles
73,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png"" width=""60"" >",tentacruel,550.0,16.0,100.0,120.0,80.0,65.0,70.0,80.0,poison,water,70.0,blue,water3,generation-i,tentacles
74,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png"" width=""60"" >",geodude,200.0,4.0,20.0,30.0,30.0,100.0,80.0,40.0,ground,rock,70.0,brown,mineral,generation-i,arms
75,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png"" width=""60"" >",graveler,1050.0,10.0,35.0,45.0,45.0,115.0,95.0,55.0,ground,rock,70.0,brown,mineral,generation-i,humanoid
76,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png"" width=""60"" >",golem,3000.0,14.0,45.0,65.0,55.0,130.0,120.0,80.0,ground,rock,70.0,brown,mineral,generation-i,humanoid
77,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png"" width=""60"" >",ponyta,300.0,10.0,90.0,65.0,65.0,55.0,85.0,50.0,fire,,70.0,yellow,ground,generation-i,quadruped
78,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png"" width=""60"" >",rapidash,950.0,17.0,105.0,80.0,80.0,70.0,100.0,65.0,fire,,70.0,yellow,ground,generation-i,quadruped
79,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png"" width=""60"" >",slowpoke,360.0,12.0,15.0,40.0,40.0,65.0,65.0,90.0,psychic,water,70.0,pink,water1,generation-i,quadruped
80,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png"" width=""60"" >",slowbro,785.0,16.0,30.0,80.0,100.0,110.0,75.0,95.0,psychic,water,70.0,pink,water1,generation-i,upright
81,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png"" width=""60"" >",magnemite,60.0,3.0,45.0,55.0,95.0,70.0,35.0,25.0,steel,electric,70.0,gray,mineral,generation-i,arms
82,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png"" width=""60"" >",magneton,600.0,10.0,70.0,70.0,120.0,95.0,60.0,50.0,steel,electric,70.0,gray,mineral,generation-i,heads
83,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png"" width=""60"" >",farfetchd,150.0,8.0,60.0,62.0,58.0,55.0,90.0,52.0,flying,normal,70.0,brown,ground,generation-i,wings
84,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png"" width=""60"" >",doduo,392.0,14.0,75.0,35.0,35.0,45.0,85.0,35.0,flying,normal,70.0,brown,flying,generation-i,legs
85,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png"" width=""60"" >",dodrio,852.0,18.0,110.0,60.0,60.0,70.0,110.0,60.0,flying,normal,70.0,brown,flying,generation-i,legs
86,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png"" width=""60"" >",seel,900.0,11.0,45.0,70.0,45.0,55.0,45.0,65.0,water,,70.0,white,ground,generation-i,fish
87,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png"" width=""60"" >",dewgong,1200.0,17.0,70.0,95.0,70.0,80.0,70.0,90.0,ice,water,70.0,white,ground,generation-i,fish
88,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png"" width=""60"" >",grimer,300.0,9.0,25.0,50.0,40.0,50.0,80.0,80.0,poison,,70.0,purple,indeterminate,generation-i,arms
89,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png"" width=""60"" >",muk,300.0,12.0,50.0,100.0,65.0,75.0,105.0,105.0,poison,,70.0,purple,indeterminate,generation-i,arms
90,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png"" width=""60"" >",shellder,40.0,3.0,40.0,25.0,45.0,100.0,65.0,30.0,water,,70.0,purple,water3,generation-i,ball
91,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png"" width=""60"" >",cloyster,1325.0,15.0,70.0,45.0,85.0,180.0,95.0,50.0,ice,water,70.0,purple,water3,generation-i,ball
92,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png"" width=""60"" >",gastly,1.0,13.0,80.0,35.0,100.0,30.0,35.0,30.0,poison,ghost,70.0,purple,indeterminate,generation-i,ball
93,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png"" width=""60"" >",haunter,1.0,16.0,95.0,55.0,115.0,45.0,50.0,45.0,poison,ghost,70.0,purple,indeterminate,generation-i,arms
94,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png"" width=""60"" >",gengar,405.0,15.0,110.0,75.0,130.0,60.0,65.0,60.0,poison,ghost,70.0,purple,indeterminate,generation-i,upright
95,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png"" width=""60"" >",onix,2100.0,88.0,70.0,45.0,30.0,160.0,45.0,35.0,ground,rock,70.0,gray,mineral,generation-i,squiggle
96,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png"" width=""60"" >",drowzee,324.0,10.0,42.0,90.0,43.0,45.0,48.0,60.0,psychic,,70.0,yellow,humanshape,generation-i,humanoid
97,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png"" width=""60"" >",hypno,756.0,16.0,67.0,115.0,73.0,70.0,73.0,85.0,psychic,,70.0,yellow,humanshape,generation-i,humanoid
98,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png"" width=""60"" >",krabby,65.0,4.0,50.0,25.0,25.0,90.0,105.0,30.0,water,,70.0,red,water3,generation-i,armor
99,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png"" width=""60"" >",kingler,600.0,13.0,75.0,50.0,50.0,115.0,130.0,55.0,water,,70.0,red,water3,generation-i,armor
100,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png"" width=""60"" >",voltorb,104.0,5.0,100.0,55.0,55.0,50.0,30.0,40.0,electric,,70.0,red,mineral,generation-i,ball
101,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png"" width=""60"" >",electrode,666.0,12.0,150.0,80.0,80.0,70.0,50.0,60.0,electric,,70.0,red,mineral,generation-i,ball
102,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png"" width=""60"" >",exeggcute,25.0,4.0,40.0,45.0,60.0,80.0,40.0,60.0,psychic,grass,70.0,pink,plant,generation-i,heads
103,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png"" width=""60"" >",exeggutor,1200.0,20.0,55.0,75.0,125.0,85.0,95.0,95.0,psychic,grass,70.0,yellow,plant,generation-i,legs
104,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png"" width=""60"" >",cubone,65.0,4.0,35.0,50.0,40.0,95.0,50.0,50.0,ground,,70.0,brown,monster,generation-i,upright
105,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png"" width=""60"" >",marowak,450.0,10.0,45.0,80.0,50.0,110.0,80.0,60.0,ground,,70.0,brown,monster,generation-i,upright
106,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png"" width=""60"" >",hitmonlee,498.0,15.0,87.0,110.0,35.0,53.0,120.0,50.0,fighting,,70.0,brown,humanshape,generation-i,humanoid
107,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png"" width=""60"" >",hitmonchan,502.0,14.0,76.0,110.0,35.0,79.0,105.0,50.0,fighting,,70.0,brown,humanshape,generation-i,humanoid
108,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png"" width=""60"" >",lickitung,655.0,12.0,30.0,75.0,60.0,75.0,55.0,90.0,normal,,70.0,pink,monster,generation-i,upright
109,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png"" width=""60"" >",koffing,10.0,6.0,35.0,45.0,60.0,95.0,65.0,40.0,poison,,70.0,purple,indeterminate,generation-i,ball
110,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png"" width=""60"" >",weezing,95.0,12.0,60.0,70.0,85.0,120.0,90.0,65.0,poison,,70.0,purple,indeterminate,generation-i,heads
111,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png"" width=""60"" >",rhyhorn,1150.0,10.0,25.0,30.0,30.0,95.0,85.0,80.0,rock,ground,70.0,gray,ground,generation-i,quadruped
112,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png"" width=""60"" >",rhydon,1200.0,19.0,40.0,45.0,45.0,120.0,130.0,105.0,rock,ground,70.0,gray,ground,generation-i,upright
113,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png"" width=""60"" >",chansey,346.0,11.0,50.0,105.0,35.0,5.0,5.0,250.0,normal,,140.0,pink,fairy,generation-i,upright
114,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png"" width=""60"" >",tangela,350.0,10.0,60.0,40.0,100.0,115.0,55.0,65.0,grass,,70.0,blue,plant,generation-i,legs
115,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png"" width=""60"" >",kangaskhan,800.0,22.0,90.0,80.0,40.0,80.0,95.0,105.0,normal,,70.0,brown,monster,generation-i,upright
116,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png"" width=""60"" >",horsea,80.0,4.0,60.0,25.0,70.0,70.0,40.0,30.0,water,,70.0,blue,dragon,generation-i,blob
